Math Score,English Score,Sum,base_prob,adjusted_prob,tier_idx,Pass,Pass_Label
77,56,133,0.8355,0.8423,6,0,Fail
65,63,128,0.7311,0.7462,7,1,Pass
55,60,115,0.3486,0.3762,5,1,Pass
63,95,158,0.9914,0.4325,3,0,Fail
39,58,97,0.0534,0.0513,7,1,Pass
89,54,143,0.9466,0.9635,7,1,Pass
12,50,62,0.0007,0.0,7,0,Fail
39,18,57,0.0004,0.01,7,0,Fail
74,62,136,0.8808,0.334,3,0,Fail
28,28,56,0.0003,0.5853,3,1,Pass
60,49,109,0.2018,0.244,6,0,Fail
78,96,174,0.9988,1.0,7,1,Pass
99,14,113,0.2942,0.2851,7,1,Pass
21,74,95,0.0421,0.0682,7,0,Fail
75,31,106,0.148,0.1529,7,0,Fail
94,1,95,0.0421,0.0563,6,0,Fail
35,48,83,0.0097,0.0,7,0,Fail
3,87,90,0.023,0.0016,7,0,Fail
13,32,45,0.0001,0.0329,5,0,Fail
88,5,93,0.0331,0.0607,7,0,Fail
7,11,18,0.0,0.0,7,0,Fail
24,86,110,0.2227,0.2084,7,1,Pass
6,38,44,0.0001,0.0457,6,0,Fail
53,4,57,0.0004,0.0,7,0,Fail
11,36,47,0.0001,0.0,6,0,Fail
96,19,115,0.3486,0.3698,7,0,Fail
79,17,96,0.0474,0.8621,1,1,Pass
85,77,162,0.9948,0.9775,7,1,Pass
93,9,102,0.0953,0.093,7,0,Fail
14,21,35,0.0,0.0,7,0,Fail
8,35,43,0.0001,0.0557,5,0,Fail
37,44,81,0.0076,0.0,6,0,Fail
40,21,61,0.0006,0.003,6,0,Fail
75,0,75,0.0036,0.0,7,0,Fail
73,27,100,0.0759,0.0903,7,0,Fail
43,58,101,0.0851,0.0983,7,0,Fail
11,57,68,0.0015,0.0185,7,0,Fail
28,46,74,0.0032,0.0,7,0,Fail
77,17,94,0.0373,0.0123,5,0,Fail
57,75,132,0.8176,0.8221,5,1,Pass
82,43,125,0.6514,0.6427,7,0,Fail
71,61,132,0.8176,0.7919,7,0,Fail
29,81,110,0.2227,0.267,7,0,Fail
41,66,107,0.1645,0.1488,7,1,Pass
17,88,105,0.133,0.1461,5,0,Fail
51,32,83,0.0097,0.0486,4,0,Fail
43,86,129,0.7549,0.779,7,1,Pass
100,21,121,0.5312,0.5313,3,1,Pass
70,19,89,0.0203,0.12,5,0,Fail
8,8,16,0.0,0.6935,2,1,Pass
24,90,114,0.3208,0.3035,7,0,Fail
45,60,105,0.133,0.1375,6,0,Fail
74,68,142,0.9399,0.9294,6,1,Pass
22,47,69,0.0017,0.0013,7,0,Fail
97,48,145,0.9579,0.9359,7,1,Pass
13,28,41,0.0001,0.0417,6,0,Fail
39,31,70,0.0019,0.0,7,0,Fail
100,31,131,0.7982,0.8159,7,0,Fail
6,87,93,0.0331,0.0,7,0,Fail
39,41,80,0.0067,0.0049,7,0,Fail
37,39,76,0.0041,0.0054,7,0,Fail
24,84,108,0.1824,0.1656,7,1,Pass
91,75,166,0.9968,0.9969,7,1,Pass
21,13,34,0.0,0.0,6,0,Fail
71,98,169,0.9978,0.9313,6,1,Pass
92,49,141,0.9325,0.9399,7,1,Pass
72,61,133,0.8355,0.82,7,1,Pass
79,3,82,0.0086,0.0391,7,0,Fail
13,84,97,0.0534,0.0984,7,0,Fail
2,81,83,0.0097,0.0175,5,0,Fail
25,48,73,0.0028,0.0074,6,0,Fail
22,42,64,0.0009,0.0,6,0,Fail
68,15,83,0.0097,0.0,5,0,Fail
13,7,20,0.0,0.0,5,0,Fail
99,38,137,0.8933,0.8942,7,1,Pass
54,85,139,0.9149,0.8898,7,1,Pass
76,46,122,0.5622,0.5879,7,0,Fail
67,17,84,0.011,0.0205,7,0,Fail
16,58,74,0.0032,0.0,7,0,Fail
61,60,121,0.5312,0.5164,7,0,Fail
52,68,120,0.5,0.4004,5,1,Pass
61,63,124,0.6225,0.6329,5,1,Pass
68,41,109,0.2018,0.2042,7,0,Fail
38,46,84,0.011,0.0106,7,0,Fail
36,87,123,0.5927,0.5888,7,1,Pass
100,30,130,0.7773,0.7798,7,1,Pass
45,9,54,0.0003,0.0,7,0,Fail
55,51,106,0.148,0.6088,2,1,Pass
55,73,128,0.7311,0.758,7,0,Fail
42,67,109,0.2018,0.1962,7,0,Fail
9,61,70,0.0019,0.0,7,0,Fail
88,50,138,0.9047,0.9267,7,1,Pass
40,81,121,0.5312,0.5259,7,1,Pass
52,94,146,0.9627,0.0373,0,0,Fail
77,71,148,0.9707,0.9712,7,1,Pass
29,75,104,0.1192,0.1212,7,0,Fail
23,91,114,0.3208,0.3036,7,0,Fail
61,54,115,0.3486,0.5534,2,1,Pass
21,92,113,0.2942,0.4633,4,1,Pass
58,30,88,0.018,0.0461,7,0,Fail
59,16,75,0.0036,0.0308,7,0,Fail
35,71,106,0.148,0.1734,6,1,Pass
84,13,97,0.0534,0.0513,7,0,Fail
93,16,109,0.2018,0.2052,7,1,Pass
24,72,96,0.0474,0.0456,7,0,Fail
8,16,24,0.0,0.0,7,0,Fail
77,72,149,0.974,0.9803,7,1,Pass
34,90,124,0.6225,0.6183,7,1,Pass
90,92,182,0.9996,0.9784,7,1,Pass
98,21,119,0.4688,0.4906,7,1,Pass
78,63,141,0.9325,0.919,7,1,Pass
25,88,113,0.2942,0.3036,7,0,Fail
88,64,152,0.982,1.0,7,1,Pass
99,80,179,0.9994,0.9965,7,1,Pass
27,30,57,0.0004,0.0,7,0,Fail
58,2,60,0.0006,0.0156,7,0,Fail
33,62,95,0.0421,0.0186,7,0,Fail
10,90,100,0.0759,0.0802,7,0,Fail
84,4,88,0.018,0.2597,4,0,Fail
62,89,151,0.9797,0.6409,3,1,Pass
43,68,111,0.2451,0.2386,7,1,Pass
87,60,147,0.9669,0.281,2,0,Fail
46,6,52,0.0002,0.0259,7,0,Fail
47,22,69,0.0017,0.0027,7,0,Fail
12,76,88,0.018,0.8856,1,1,Pass
41,24,65,0.001,0.013,6,0,Fail
41,10,51,0.0002,0.0,7,0,Fail
84,39,123,0.5927,0.579,7,1,Pass
65,94,159,0.9924,1.0,7,1,Pass
46,84,130,0.7773,0.7907,7,1,Pass
95,20,115,0.3486,0.3543,7,1,Pass
60,74,134,0.852,0.8543,7,1,Pass
97,40,137,0.8933,0.887,7,1,Pass
86,63,149,0.974,0.991,7,1,Pass
36,33,69,0.0017,0.0186,5,0,Fail
90,66,156,0.989,1.0,5,1,Pass
10,83,93,0.0331,0.027,7,0,Fail
62,0,62,0.0007,0.0,7,0,Fail
48,88,136,0.8808,0.8647,6,1,Pass
61,10,71,0.0022,0.0625,6,0,Fail
62,99,161,0.9941,0.9305,6,1,Pass
83,68,151,0.9797,1.0,7,1,Pass
39,53,92,0.0293,0.0271,7,0,Fail
80,56,136,0.8808,0.5829,3,0,Fail
24,65,89,0.0203,0.0186,7,0,Fail
84,0,84,0.011,0.0,7,0,Fail
4,60,64,0.0009,0.1233,4,1,Pass
71,80,151,0.9797,0.9483,6,1,Pass
46,31,77,0.0046,0.0016,7,0,Fail
11,100,111,0.2451,0.2406,7,0,Fail
12,5,17,0.0,0.0,5,0,Fail
48,62,110,0.2227,0.2389,5,1,Pass
53,63,116,0.3775,0.3956,7,0,Fail
58,33,91,0.026,0.0,5,0,Fail
48,4,52,0.0002,0.0,7,0,Fail
62,32,94,0.0373,0.0781,5,0,Fail
64,62,126,0.6792,0.7015,7,1,Pass
3,37,40,0.0,0.0241,7,0,Fail
44,13,57,0.0004,0.4826,3,1,Pass
10,77,87,0.0159,0.0935,5,0,Fail
41,83,124,0.6225,0.6207,4,1,Pass
32,23,55,0.0003,0.0,7,0,Fail
39,88,127,0.7058,0.6519,6,0,Fail
50,99,149,0.974,0.9429,7,1,Pass
3,43,46,0.0001,0.0,7,0,Fail
36,18,54,0.0003,0.0,7,0,Fail
45,75,120,0.5,0.5188,7,1,Pass
79,55,134,0.852,0.8302,7,1,Pass
15,15,30,0.0,0.1045,5,0,Fail
43,8,51,0.0002,0.025,7,0,Fail
20,35,55,0.0003,0.0039,7,1,Pass
22,32,54,0.0003,0.0392,7,0,Fail
32,60,92,0.0293,0.8766,1,1,Pass
5,68,73,0.0028,0.0071,7,0,Fail
45,16,61,0.0006,0.0,6,0,Fail
98,81,179,0.9994,1.0,7,1,Pass
56,58,114,0.3208,0.2969,7,0,Fail
77,92,169,0.9978,0.9987,7,1,Pass
96,62,158,0.9914,0.9761,7,1,Pass
68,63,131,0.7982,0.798,7,1,Pass
86,93,179,0.9994,0.98,7,1,Pass
70,100,170,0.9981,0.9926,7,1,Pass
71,64,135,0.867,0.8866,7,1,Pass
19,2,21,0.0,0.0253,7,0,Fail
39,45,84,0.011,0.0218,7,0,Fail
31,53,84,0.011,0.0083,7,0,Fail
77,74,151,0.9797,0.9919,7,1,Pass
65,99,164,0.9959,1.0,5,1,Pass
97,98,195,0.9999,1.0,7,1,Pass
99,30,129,0.7549,0.7766,7,1,Pass
66,0,66,0.0012,0.0009,5,0,Fail
88,11,99,0.0675,0.0668,7,0,Fail
4,99,103,0.1067,0.1108,7,0,Fail
10,73,83,0.0097,0.0,5,0,Fail
55,98,153,0.9841,0.9874,7,1,Pass
72,57,129,0.7549,0.7513,7,1,Pass
94,84,178,0.9993,0.9625,7,1,Pass
100,68,168,0.9975,1.0,7,1,Pass
71,96,167,0.9972,0.9848,7,1,Pass
10,68,78,0.0052,0.014,7,0,Fail
12,81,93,0.0331,0.0502,7,0,Fail
42,93,135,0.867,0.885,7,1,Pass
48,29,77,0.0046,0.0,6,0,Fail
99,84,183,0.9996,0.9899,7,1,Pass
17,98,115,0.3486,0.3483,7,0,Fail
76,19,95,0.0421,0.0446,7,0,Fail
10,0,10,0.0,0.0089,6,0,Fail
39,38,77,0.0046,0.0036,6,0,Fail
20,50,70,0.0019,0.0531,6,0,Fail
52,25,77,0.0046,0.0085,6,0,Fail
75,6,81,0.0076,0.1048,4,0,Fail
42,88,130,0.7773,0.7695,7,0,Fail
26,2,28,0.0,0.0382,7,0,Fail
38,12,50,0.0002,0.6215,2,0,Fail
10,100,110,0.2227,0.1777,5,0,Fail
82,56,138,0.9047,0.878,5,0,Fail
75,5,80,0.0067,0.013,7,0,Fail
38,55,93,0.0331,0.4152,4,1,Pass
38,98,136,0.8808,0.8785,7,1,Pass
81,31,112,0.2689,0.2469,7,0,Fail
34,52,86,0.0141,0.0178,7,0,Fail
51,46,97,0.0534,0.69,2,1,Pass
96,20,116,0.3775,0.3878,7,0,Fail
89,74,163,0.9954,0.8547,4,1,Pass
70,68,138,0.9047,0.93,7,1,Pass
83,96,179,0.9994,1.0,7,1,Pass
44,85,129,0.7549,0.7581,6,0,Fail
30,38,68,0.0015,0.0,7,0,Fail
78,93,171,0.9983,0.931,5,1,Pass
29,19,48,0.0001,0.0,7,0,Fail
48,40,88,0.018,0.0248,7,0,Fail
79,27,106,0.148,0.1683,7,0,Fail
77,84,161,0.9941,0.9782,7,1,Pass
73,22,95,0.0421,0.0656,7,0,Fail
72,28,100,0.0759,0.425,4,1,Pass
49,74,123,0.5927,0.6138,7,1,Pass
28,16,44,0.0001,0.0039,7,0,Fail
41,79,120,0.5,0.4793,7,0,Fail
23,73,96,0.0474,0.0172,7,0,Fail
80,82,162,0.9948,1.0,7,1,Pass
6,78,84,0.011,0.0109,6,0,Fail
19,27,46,0.0001,0.0606,6,0,Fail
18,31,49,0.0001,0.0,7,0,Fail
27,52,79,0.0059,0.037,7,0,Fail
90,59,149,0.974,0.8786,6,0,Fail
53,68,121,0.5312,0.5308,3,1,Pass
1,42,43,0.0001,0.0,7,0,Fail
62,23,85,0.0124,0.0375,7,0,Fail
66,9,75,0.0036,0.0,7,0,Fail
8,79,87,0.0159,0.8873,1,1,Pass
48,24,72,0.0025,0.0,7,0,Fail
23,1,24,0.0,0.0103,7,0,Fail
60,75,135,0.867,0.8406,7,1,Pass
67,12,79,0.0059,0.0233,6,0,Fail
59,73,132,0.8176,0.419,2,0,Fail
13,31,44,0.0001,0.0024,7,0,Fail
72,86,158,0.9914,1.0,5,1,Pass
41,100,141,0.9325,0.9276,7,1,Pass
20,34,54,0.0003,0.0,7,0,Fail
71,91,162,0.9948,1.0,7,1,Pass
47,92,139,0.9149,0.9172,7,1,Pass
29,90,119,0.4688,0.455,7,1,Pass
13,80,93,0.0331,0.0854,6,0,Fail
85,99,184,0.9997,0.8982,6,1,Pass
59,83,142,0.9399,0.8459,6,1,Pass
47,4,51,0.0002,0.6448,2,0,Fail
77,97,174,0.9988,0.8936,6,0,Fail
88,36,124,0.6225,0.6849,5,1,Pass
37,0,37,0.0,0.0269,6,0,Fail
9,92,101,0.0851,0.0794,5,1,Pass
8,90,98,0.0601,0.0,5,0,Fail
77,19,96,0.0474,0.1074,5,0,Fail
45,36,81,0.0076,0.014,7,0,Fail
40,49,89,0.0203,0.7744,2,1,Pass
87,13,100,0.0759,0.0643,7,0,Fail
59,50,109,0.2018,0.1733,7,0,Fail
58,64,122,0.5622,0.5595,7,1,Pass
0,32,32,0.0,0.0218,7,0,Fail
31,60,91,0.026,0.0467,7,0,Fail
67,54,121,0.5312,0.5296,7,1,Pass
12,67,79,0.0059,0.0,7,0,Fail
46,4,50,0.0002,0.4696,3,0,Fail
100,89,189,0.9998,0.9517,6,1,Pass
13,12,25,0.0,0.0,7,0,Fail
73,11,84,0.011,0.1023,6,0,Fail
51,64,115,0.3486,0.3521,7,1,Pass
24,12,36,0.0,0.0,6,0,Fail
49,72,121,0.5312,0.5467,7,1,Pass
27,61,88,0.018,0.0145,7,0,Fail
47,80,127,0.7058,0.7102,7,1,Pass
89,32,121,0.5312,0.4199,6,1,Pass
54,57,111,0.2451,0.7039,1,0,Fail
61,29,90,0.023,0.019,7,0,Fail
39,2,41,0.0001,0.0,7,0,Fail
26,39,65,0.001,0.0663,6,0,Fail
58,47,105,0.133,0.1293,7,0,Fail
27,65,92,0.0293,0.6822,2,1,Pass
91,22,113,0.2942,0.3128,7,1,Pass
47,63,110,0.2227,0.1616,5,1,Pass
43,15,58,0.0004,0.0,7,0,Fail
52,7,59,0.0005,0.0,5,0,Fail
51,52,103,0.1067,0.1035,7,0,Fail
16,62,78,0.0052,0.0303,7,0,Fail
56,17,73,0.0028,0.0442,7,0,Fail
14,74,88,0.018,0.0162,7,0,Fail
78,0,78,0.0052,0.0063,7,0,Fail
50,49,99,0.0675,0.0657,7,0,Fail
8,59,67,0.0013,0.0223,6,0,Fail
37,9,46,0.0001,0.0045,7,0,Fail
27,82,109,0.2018,0.2273,7,0,Fail
95,48,143,0.9466,0.9472,7,1,Pass
42,38,80,0.0067,0.0,7,0,Fail
41,84,125,0.6514,0.3789,1,0,Fail
49,34,83,0.0097,0.0123,7,0,Fail
13,11,24,0.0,0.0384,7,0,Fail
14,19,33,0.0,0.0,5,0,Fail
37,39,76,0.0041,0.0,6,0,Fail
33,62,95,0.0421,0.0687,5,0,Fail
66,9,75,0.0036,0.099,4,0,Fail
60,84,144,0.9526,0.9027,6,1,Pass
69,8,77,0.0046,0.3466,4,0,Fail
44,56,100,0.0759,0.1703,5,1,Pass
36,27,63,0.0008,0.0124,7,0,Fail
59,12,71,0.0022,0.0016,7,0,Fail
82,73,155,0.9876,0.8954,5,1,Pass
85,21,106,0.148,0.1777,7,0,Fail
81,64,145,0.9579,0.295,2,0,Fail
41,15,56,0.0003,0.0163,7,0,Fail
14,15,29,0.0,0.0,7,0,Fail
92,48,140,0.9241,0.9206,7,1,Pass
72,73,145,0.9579,0.2848,3,1,Pass
26,16,42,0.0001,0.0002,7,0,Fail
71,7,78,0.0052,0.0045,7,0,Fail
29,57,86,0.0141,0.0085,7,0,Fail
42,39,81,0.0076,0.0,6,0,Fail
73,1,74,0.0032,0.0001,7,0,Fail
32,3,35,0.0,0.0,6,0,Fail
33,11,44,0.0001,0.0,7,0,Fail
89,12,101,0.0851,0.0975,7,1,Pass
56,97,153,0.9841,0.9812,7,1,Pass
47,30,77,0.0046,0.0,6,0,Fail
93,3,96,0.0474,0.0,6,0,Fail
17,99,116,0.3775,0.3086,6,0,Fail
26,60,86,0.0141,0.0019,6,0,Fail
12,20,32,0.0,0.0943,4,0,Fail
35,11,46,0.0001,0.0016,4,0,Fail
14,66,80,0.0067,0.0398,7,0,Fail
84,52,136,0.8808,0.9239,7,1,Pass
10,30,40,0.0,0.0,6,0,Fail
43,84,127,0.7058,0.7038,7,1,Pass
98,94,192,0.9999,0.9849,7,1,Pass
80,78,158,0.9914,0.9565,7,1,Pass
47,97,144,0.9526,0.9415,7,1,Pass
53,99,152,0.982,0.8911,6,1,Pass
43,67,110,0.2227,0.2354,7,0,Fail
73,47,120,0.5,0.5111,7,1,Pass
77,45,122,0.5622,0.5992,7,1,Pass
67,61,128,0.7311,0.4823,3,1,Pass
36,38,74,0.0032,0.0477,6,0,Fail
100,98,198,0.9999,1.0,7,1,Pass
9,85,94,0.0373,0.0333,7,0,Fail
21,19,40,0.0,0.0087,7,0,Fail
69,19,88,0.018,0.0317,7,0,Fail
66,15,81,0.0076,0.017,7,0,Fail
68,42,110,0.2227,0.2144,7,0,Fail
88,92,180,0.9994,0.991,7,1,Pass
24,59,83,0.0097,0.0255,7,0,Fail
26,56,82,0.0086,0.0128,6,0,Fail
28,32,60,0.0006,0.0317,7,0,Fail
19,39,58,0.0004,0.5019,3,0,Fail
58,22,80,0.0067,0.0167,6,0,Fail
83,38,121,0.5312,0.5072,6,1,Pass
55,39,94,0.0373,0.0,6,0,Fail
92,97,189,0.9998,0.9221,6,1,Pass
7,73,80,0.0067,0.0009,7,0,Fail
10,92,102,0.0953,0.0917,7,0,Fail
42,26,68,0.0015,0.0,7,0,Fail
7,70,77,0.0046,0.0253,7,0,Fail
1,39,40,0.0,0.0541,5,0,Fail
12,28,40,0.0,0.0498,7,0,Fail
89,26,115,0.3486,0.3682,7,1,Pass
33,17,50,0.0002,0.0154,7,0,Fail
28,50,78,0.0052,0.0,7,0,Fail
83,77,160,0.9933,1.0,7,1,Pass
28,8,36,0.0,0.0068,7,0,Fail
59,42,101,0.0851,0.8319,1,1,Pass
90,23,113,0.2942,0.2678,7,0,Fail
44,16,60,0.0006,0.0,7,0,Fail
22,87,109,0.2018,0.1939,7,0,Fail
73,95,168,0.9975,0.9735,7,1,Pass
49,40,89,0.0203,0.0,7,0,Fail
63,1,64,0.0009,0.0117,7,0,Fail
88,88,176,0.9991,1.0,7,1,Pass
39,66,105,0.133,0.4379,3,1,Pass
65,27,92,0.0293,0.013,7,0,Fail
28,94,122,0.5622,0.5582,7,0,Fail
10,54,64,0.0009,0.0131,7,0,Fail
64,25,89,0.0203,0.0,7,0,Fail
86,91,177,0.9992,1.0,7,1,Pass
5,47,52,0.0002,0.0907,6,0,Fail
80,86,166,0.9968,0.2928,2,0,Fail
20,77,97,0.0534,0.088,6,0,Fail
99,33,132,0.8176,0.8353,7,1,Pass
6,40,46,0.0001,0.0,7,0,Fail
83,60,143,0.9466,0.2562,2,0,Fail
47,81,128,0.7311,0.541,3,1,Pass
